Particle,Radius_m,Volume_m3,Density_kg_m3,Corey Shape Factor
mp1,0.0005,5.235987755982989e-10,980.0,1
mp2,5e-05,5.235987755982989e-13,980.0,1
mp3,5e-06,5.235987755982989e-16,980.0,1
mp4,5e-07,5.235987755982988e-19,980.0,1
mp5,5.0000000000000004e-08,5.23598775598299e-22,980.0,1
mp1_BF,0.000505,5.39464342097703e-10,991.9992196455212,1
mp2_BF,5.5e-05,6.969099703213358e-13,1081.4635612321563,1
mp3_BF,1e-05,4.188790204786391e-15,1337.0,1
mp4_BF,5.500000000000001e-06,6.96909970321336e-16,1387.6934635612322,1
mp5_BF,5.050000000000001e-06,5.394643420977031e-16,1387.9996039992197,1
mp1_SPM,0.0005000000000208336,5.235987756637487e-10,980.0000001275,1
mp2_SPM,5.000000208333328e-05,5.235988410481458e-13,980.0001274999842,1
mp3_SPM,5.000208324653384e-06,5.236642254452487e-16,980.1274840644919,1
mp4_SPM,5.200209557629765e-07,5.890486225480861e-19,1093.3333333333335,1
mp5_SPM,2.5066489674822943e-07,6.597344572538565e-20,1991.9047619047617,1
mp1_BF_SPM,0.000505000000020423,5.394643421631528e-10,991.9992197678156,1
mp2_BF_SPM,5.500000172176306e-05,6.969100357711828e-13,1081.463647495901,1
mp3_BF_SPM,1.0000052083062075e-05,4.188855654633341e-15,1337.0103592131372,1
mp4_BF_SPM,5.500172170918883e-06,6.969754201682858e-16,1387.7509625316932,1
mp5_BF_SPM,5.050204220084936e-06,5.395297919446529e-16,1388.07384518636,1
