species,Compartment,MP_Form,Size_Fraction_um,number_fraction
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,0.7892196992346409
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,0.1350463657032205
aD2_Utopia,Ocean_Column_Water,heterBiofMP,0.5,0.06274758533537614
aD9_Utopia,Sediment_Coast,heterBiofMP,0.5,0.00996707548615976
aD1_Utopia,Ocean_Mixed_Water,heterBiofMP,0.5,0.002077148923523133
aB1_Utopia,Ocean_Mixed_Water,heterMP,0.5,0.0002832645042535931
aD6_Utopia,Bulk_Freshwater,heterBiofMP,0.5,0.00021268692160748688
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,0.00017372668363513163
aD0_Utopia,Ocean_Surface_Water,heterBiofMP,0.5,0.00010381683780454697
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,2.9025278625107267e-05
