,Inflow,Outflow,Mass balance,Concentration (g/m3),Concentration (N/m3)
Ocean_Surface_Water,319138.0214509335,319138.0214509334,5.820766091346741e-11,6.722608087651935e-08,1578.082440628396
Ocean_Mixed_Water,319137.966112342,319137.9661123421,-5.820766091346741e-11,8.021028863877668e-09,1578.2528890795093
Ocean_Column_Water,0.9777962022681158,0.9777962022681158,0.0,1.5649832659334671e-10,2103.4738599327948
Coast_Surface_Water,12236.704050162356,12236.630087329768,0.07396283258822223,1.0040203518207147e-07,1590.3951416107284
Coast_Column_Water,12235.591966900904,12235.591966900902,1.8189894035458565e-12,9.196424099230017e-09,1590.69588627332
Surface_Freshwater,3.751313806519059,3.7513138065190597,-4.440892098500626e-16,6.142865467979314e-11,786.6912185199595
Bulk_Freshwater,3.7592930447480293,3.759293044748027,2.220446049250313e-15,6.149853446791427e-11,787.2568036944476
Sediment_Freshwater,0.03025630275155485,0.03025630275155485,0.0,8.824906503223694e-06,39039489.24445611
Sediment_Ocean,0.8770770074161844,0.8770770074161844,0.0,0.00014427064939190968,1612659560.6963253
Sediment_Coast,0.021414899531028327,0.021414899531028337,-1.0408340855860843e-17,2.0481422126325223e-05,233805916.9882044
Urban_Soil_Surface,0.000661067692422439,3.732702036059856e-05,0.0006237406720618404,8.80064284032258e-08,569291.7041446681
Urban_Soil,0.0006237406720618404,6.658076334049833e-05,0.0005571599087213421,7.861224353696019e-08,524139.65198408486
Background_Soil_Surface,0.46663581614000244,0.02643539809808492,0.4402004180419175,3.930828831187501e-05,167843403.22948146
Background_Soil,0.44020041804191756,0.047691616179860626,0.39250880186205694,3.5049601309268094e-05,161479419.55167112
Agricultural_Soil_Surface,2.1975187105024994e-05,3.5162725581716473e-06,1.8458914546853346e-05,4.94494079419217e-08,455791.61460674356
Agricultural_Soil,1.8458914546853343e-05,1.95645056914591e-06,1.6502463977707433e-05,4.420829140355012e-08,410187.2760487613
Air,0.0009710372304210863,0.0009710372304210862,1.0842021724855044e-19,1.0063933598926218e-13,1.535482683797539
